var,coef,ci_lo,ci_hi,pvalue,efeito_pct,modelo
Intercept,4.680253904311472,-4.544061367390704,13.904569176013649,0.3196482092704767,10679.743933159623,receita
ar_condicionado[T.True],0.5842274822724228,-1.3277100808414861,2.4961650453863315,0.5488795893492965,79.36048587553823,receita
tv[T.True],1.084358310637047,-0.7670917714916949,2.9358083927657885,0.2506969050874876,195.75413868544223,receita
cozinha[T.True],0.5371436533753042,-1.0146659315976836,2.0889532383482923,0.4971297074280406,71.11123453222095,receita
vista_mar[T.True],0.29367760664060055,-0.35141028695883575,0.9387655002400368,0.37186941940282653,34.13513911700047,receita
elevador[T.True],-0.2633509489685823,-0.8122425587130531,0.2855406607758885,0.3466635446818744,-23.152784452922816,receita
piscina[T.True],-0.6344364686163941,-1.6575432530434762,0.3886703158106879,0.22393605424698002,-46.97657922424937,receita
churrasqueira[T.True],0.0451622558288025,-0.5162142666492278,0.6065387783068328,0.8745888818612381,4.619759779618534,receita
academia[T.True],0.7176609550867271,-0.5289265774491033,1.9642484876225574,0.25885656798444834,104.96334147503164,receita
varanda[T.True],-0.35683450164846253,-0.8677618804454695,0.15409287714854447,0.1708297339216134,-30.011168148675303,receita
is_superhost[T.True],0.40765958022450854,-0.10246555759036458,0.9177847180393817,0.11715260955030067,50.329532259885255,receita
flag_rating_missing[T.True],-4.250150470712001,-13.043031279102781,4.54273033767878,0.3430829612572525,-98.573791227896,receita
is_professional[T.True],-0.3692166021244362,-1.3270190654189689,0.5885858611700965,0.44954786156810894,-30.872433754403183,receita
host_multi_listing[T.True],-0.20192998119311464,-0.7474145732386651,0.34355461085243577,0.467735999753385,-18.284785804279156,receita
can_instant_book[T.True],0.7188862606460915,0.19217074573887705,1.245601775553306,0.007522615179085268,105.2146381229559,receita
bairro_Centro[T.True],-0.18518220499748422,-0.8630703142412479,0.4927059042462795,0.5920251948182713,-16.904713370688587,receita
bairro_Morretes[T.True],0.1887624756860067,-0.6229241339395596,1.000449085311573,0.6482263352832438,20.775404745919584,receita
